opt algorithm on cc.trace,,,,,opt,Memory Accesses,Page Faults,Disk Writes
8,2190059,36948,2735,,8,2190059,29193.5,2105.5
16,2190059,20430,1991,,16,2190059,19003,1325
32,2190059,14754,1696,,32,2190059,15016,1174
64,2190059,12804,1871,,64,2190059,11161,1288.5
opt algorithm on ls.trace,,,,,,,,
8,853852,21439,1476,,fifo,Memory Accesses,Page Faults,Disk Writes
16,853852,17576,659,,8,1521955.5,57409,9214
32,853852,15278,652,,16,1521955.5,36090.5,4883
64,853852,9518,706,,32,1521955.5,30837.5,3627
,,,,,64,1521955.5,26244,3547.5
fifo algorithm on cc.trace,,,,,,,,
8,2190059,74558,11966,,2nd,Memory Accesses,Page Faults,Disk Writes
16,2190059,40514,5929,,8,1521955.5,49846.5,4364.5
32,2190059,30420,4212,,16,1521955.5,32101.5,2927
64,2190059,26642,4139,,32,1521955.5,28660,2583.5
fifo algorithm on ls.trace,,,,,64,1521955.5,23364,2527
8,853852,40260,6462,,,,,
16,853852,31667,3837,,nru,Memory Accesses,Page Faults,Disk Writes
32,853852,31255,3042,,8,1521955.5,46499.5,2846
64,853852,25846,2956,,16,1521955.5,30972,1275.5
,,,,,32,1521955.5,34266,956.5
2nd algorithm on cc.trace,,,,,64,1521955.5,48838.5,1752
8,2190059,66483,5809,,,,,
16,2190059,36110,3733,,,,,
32,2190059,28090,3043,,,,,
64,2190059,23115,3124,,,,,
2nd algorithm on ls.trace,,,,,,,,
8,853852,33210,2920,,,,,
16,853852,28093,2121,,,,,
32,853852,29230,2124,,,,,
64,853852,23613,1930,,,,,
,,,,,,,,
nru algorithm on cc.trace,,,,,,,,
8,2190059,58888,3429,,,,,
16,2190059,34970,1827,,,,,
32,2190059,37890,1340,,,,,
64,2190059,58102,2603,,,,,
nru algorithm on ls.trace,,,,,,,,
8,853852,34111,2263,,,,,
16,853852,26974,724,,,,,
32,853852,30642,573,,,,,
64,853852,39575,901,,,,,
